context	tgt_term_gold	tgt_term_hyponym	tgt_term_hypernym	tgt_term_co-hyponym
Bei der Verwendung von Arbeitsmitteln müssen mechanische Gefährdungen durch konstruktive Maßnahmen vermieden oder minimiert sein.	mechanische Gefährdung		physikalische Gefährdung,physikalisches Risiko	Blaulichtgefährdung,Blue Light Hazard,Lärmgefährdung,Lärmrisiko,Vibrationsgefährdung,Vibrationsrisiko,elektrische Gefährdung,elektrisches Risiko,thermische Gefährdung,thermisches Risiko
Es sind alle direkten Wirkungen zu bewerten (Gewebeerwärmung, Nerven- oder Muskelreizung), sowie alle indirekten Wirkungen wie z. B. die Beeinflussung von aktiven medizinischen Implantaten, die Projektilwirkung im Magnetfeld oder die Erwärmung von am oder im Körper getragenen Metallteilen.	Magnetfeld,magnetisches Feld		EMF,elektromagnetisches Feld	elektrisches Feld
Der Arbeitnehmer wird in einem Zeitabstand von höchstens zwei Jahren einer periodischen Untersuchung unterzogen, um die Eignung für die risikobehaftete Tätigkeit zu bestätigen.	risikobehaftete Tätigkeit		Aufgabe	
Üblicherweise liegen die Alarmschwellen bei Überwachung brennbarer Gase zwischen 10 % und 40 % der UEG. Alarmschwellen oberhalb 40 % der UEG sollten nicht eingestellt werden.	UEG,untere Explosionsgrenze		Explosionsgrenze	OEG,obere Explosionsgrenze
Arbeitnehmer in Abfüllräumen müssen antistatische Kleidung, elektrostatisch leitfähige Schuhe sowie geeigneten Augenschutz und Schutzhandschuhe tragen und ausschließlich nicht funkenziehendes Werkzeug verwenden.	antistatische Kleidung,antistatische Schutzkleidung		Schutzkleidung	Chemikalienschutzkleidung,Hitzeschutzkleidung,Kälteschutzkleidung,Schweißerschutzkleidung,Strahlenschutzkleidung,UV-Schutzbekleidung,UV-Schutzkleidung,Warnkleidung,Wetterschutzkleidung
Fußschutz ist immer dann geboten, wenn mit Gefährdungen zu rechnen ist durch Stoßen, Einklemmen, umfallende, herabfallende oder abrollende Gegenstände, Hineintreten in spitze Gegenstände, heiße oder ätzende Flüssigkeiten bzw. andere gesundheitsgefährdende Umgebungseinflüsse.	Fußschutz,Fußschutzausrüstung	Berufsschuh,Schutzschuh,Sicherheitsschuh	PSA,Schutzausrüstung,persönliche Schutzausrüstung	
Die Auswahl eines geeigneten Fussschutzes richtet sich hauptsächlich nach den voraussehbaren Gefahren und dem Einsatzort.	Fussschutz	Berufsschuh,Schutzschuh,Sicherheitsschuh	PSA,Schutzausrüstung,persönliche Schutzausrüstung	
Der Sicherungsposten hat mit den im Schacht oder umschlossenen Raum tätigen Versicherten ständige Verbindung zu halten.	ständige Verbindung	Ruf- und Sichtverbindung,Verbindung über andere Mittel		
Arbeitsmittel müssen mit einer Not-Halt-Einrichtung versehen sein ausser bei Arbeitsmitteln, an denen eine Not-Halt- Einrichtung das Risiko nicht verringern würde und bei von Hand gehaltenen bzw. handgeführten Arbeitsmitteln.	Not-Halt-Einrichtung		Schalteinrichtung	
Der Arbeitgeber besorgt:  b) die Gewährleistung einer angemessenen Ausbildung der Arbeitnehmer mit Bezug auf die Arbeitsrisiken und die korrekte Durchführung der Tätigkeiten.	Arbeitsrisiko	Gesundheitsrisiko,Risiko für die Gesundheit,Risiko für die Sicherheit,Sicherheitsrisiko,organisationsbezogenes Risiko	Gefahr,Gefährdung,Risiko	
Anstellleitern dienen in erster Linie als Zugangsmittel zu Arbeitsplätzen. Auf Anstellleitern sollte, wenn immer möglich, nicht gearbeitet werden.	Anstellleiter	Schiebeleiter,Steckleiter		
Durch geeignete Schutzeinrichtungen und Schutzmaßnahmen ist dafür zu sorgen, dass bei der Benutzung von Stetigförderern, wie Becherwerken, Schüttelrinnen, Schwing-, Gurt- oder Kreisförderern eine Gefährdung der ArbeitnehmerInnen, insbesondere Quetsch- und Einzugsgefahren sowie die Gefahr des Einklemmens, wirksam verhindert werden.	Einzugsgefahr		mechanische Gefahr	Quetschgefahr
Ist die Erwerbsfähigkeit eingeschränkt oder wird ein Bediensteter als dienstunfähig erklärt, steht ihm unter bestimmten Voraussetzungen auch bereits in jüngeren Jahren eine Rente zu.	Erwerbsfähigkeit	allgemeine Erwerbsfähigkeit,spezifische Erwerbsfähigkeit		
Die vorliegende DGUV Information 203-082 erläutert die Schutzmaßnahmen für den Bereich der Batterieherstellung. Bei der Ableitung der erforderlichen Schutzmaßnahmen für einzelne Produktionsschritte ist das  inhalative Expositionsrisiko zu berücksichtigen.	Expositionsgefährdung,Expositionsrisiko	Expositionsrisiko gegenüber Asbestfasern		
Die Stufen müssen rechteckige Form und ein konstantes Steigungsverhältnis aufweisen, und zwar nicht über 17 cm Stufenhöhe beziehungsweise unter 30 cm Stufenbreite.	Stufenhöhe,Tritthöhe		Stufe,Treppenstufe	Auftritt,Auftrittsfläche,Trittfläche
Durch die Atemwege können Asbestfasern tief in die Lungen eindringen und schwere Lungenerkrankungen wie Asbestose, Lungenkrebs und Mesotheliom hervorrufen.	Asbestose		Berufskrankheit	
Konstruktionsbedingt haben Mehrzweckleitern stets Steigschenkel, i. d. R. aus Aluminium, mit Sprossen.	Mehrzweckleiter	Mehrzweckleiter mit Gelenken,Stehleiter mit aufgesetzter Schiebeleiter,dreiteilige Mehrzweckleiter	Sprossenleiter,tragbare Leiter	
Liegen die obersten Regalfächer über einer Höhe von 1,80 m, sind Tritthocker oder kleinere Stehleitern zu benutzen.	Tritthocker		Tritt,Trittleiter	Elefantenfuß,Rollhocker,Rolltritt,Treppentritt,tonnenförmiger Tritt
Elektrische Gleichfelder dringen kaum in den menschlichen Körper ein. Vor allem magnetische Felder sowie elektrische Wechselfelder dringen aber ins Innere des Gewebes ein und induzieren elektrische Felder und Ströme.	elektrisches Feld		EMF,elektromagnetisches Feld	Magnetfeld,magnetisches Feld
Es muss zwischen der externen elektrischen Feldstärke Ee eines in der Umgebung auftretenden elektrischen Feldes und der internen elektrischen Feldstärke Ei, wie sie im Körper (in situ) infolge einer Exposition gegenüber der Umgebungsfeldstärke auftritt, unterschieden werden.	E,elektrische Feldstärke			H,magnetische Feldstärke
"Regalleiter zum Verfahren (""verfahrbare Regalleitern"", auch ""Rollleitern"" genannt) sind am oberen Ende mit Fahrwerken (Rollen) ausgerüstet, welche auf am Regal angebrachten Führungsschienen laufen."	Rollleiter,verfahrbare Regalleiter		Anlegeleiter	
Steckleitern sind für das Besteigen von Masten ohne feste Leitern vorgesehen.	Steckleiter		Anstellleiter	
Der Arbeitgeber  ergreift Hygienemaßnahmen, um die unbeabsichtigte Verbreitung eines biologischen Arbeitsstoffes außerhalb des Arbeitsplatzes zu verhindern oder auf das niedrigstmögliche Niveau zu senken und verwendet das  Symbol für biologische Risiken sowie sonstige geeignete Warnzeichen .	biologisches Risiko		Gefahr,Gefährdung,Risiko	
Am oberen Leiterende werden Hängeleitern gegen Aushängen gesichert; am unteren Leiterende zu benachbarten Bauteilen abgespannt.	Hängeleiter		Einfachleiter	
Auf der Arbeitsstelle soll den Arbeitnehmern die Erste Hilfe gewährleistet werden; die verletzten Arbeitnehmer sollen durch den Einsatz eines Verkehrsmittels zum nähesten Krankenhaus befördert werden.	Erste Hilfe			Ersthilfe
Der Kläger ist Arbeiter des forsttechnischen Dienstes für Wildbach- und Lawinenverbauung. Die Beklagte veranstaltet unter anderem Lehrgänge zum Thema Höhenarbeit, Sicherheitstechnik und Arbeiten in absturzgefährdeten Bereichen.	Höhenarbeit	Arbeiten am Seil,Höhenarbeiten am Seil		
Absturz ist eine wesentliche Unfallursache. Auch im Tiefbau gibt es Arbeitsplätze mit Absturzgefährdungen, z. B. an Baugrubenkanten.	Absturzgefährdung,Absturzrisiko		Sturz- und Absturzgefährdung,Sturz- und Absturzrisiko	Sturzgefährdung,Sturzrisiko
Fahrgerüste dürfen nur langsam und auf einem ebenen, tragfähigem und hindernisfreien Untergrund verfahren werden, da sonst Umsturzgefahr besteht. Beim Verfahren dürfen sich keine Personen auf dem Gerüst befinden.	Fahrgerüst,Rollgerüst,fahrbares Gerüst		mobiles Gerüst	
Einige Landesteile Südtirols haben eine hohe Radonbelastung; es ist deshalb wichtig, diesen Risikofaktor zu berücksichtigen und die notwendigen Vorsorge-, bzw. Sanierungsmaßnahmen umzusetzen.	Radonbelastung		Strahlenbelastung	
Das Schutzsystem gegen Absturz muss direkt oder über einen Verbinder längs einer Führung oder Lebenslinie, an stabilen Punkten der fixen oder zeitweiligen Bauten, befestigt werden.	Verbinder	Karabiner,Karabinerhaken	Auffangsystem,Schutzsystem gegen Absturz	Auffanggurt,Falldämpfer
Vor Beginn der Abbrucharbeiten oder der Arbeiten zur Entfernung von Asbest oder asbesthaltigen Materialien aus Gebäuden, Bauten, Geräten und Anlagen sowie Transportmitteln hat der Arbeitgeber einen Arbeitsplan aufzustellen  , der die zur Asbestsanierung angewandte Arbeitstechniken vorsehen muss.	Asbestsanierung,Beseitigung von Asbest,Entfernung von Asbest		Bonifizierung,Sanierung	Einhüllung,Einkapselung
Vor Beginn der Abbrucharbeiten oder der Arbeiten zur Entfernung von Asbest oder asbesthaltigen Materialien aus Gebäuden, Bauten, Geräten und Anlagen sowie Transportmitteln hat der Arbeitgeber einen Arbeitsplan aufzustellen.	Asbestsanierung,Beseitigung von Asbest,Entfernung von Asbest		Bonifizierung,Sanierung	Einhüllung,Einkapselung
Eisige Stellen und eine damit verbundene Rutschgefahr gehörten zu den typischen Berufsrisiken eines Zeitungszustellers. Dieser habe daher selbst geeignete Maßnahmen zu treffen, um nicht zu Sturz zu kommen.	Berufsrisiko		Gefahr,Gefährdung,Risiko	
Der Arbeitgeber  sowie die Führungskräfte  müssen  darüber wachen, dass die Arbeitnehmer, die der Gesundheitsüberwachungspflicht unterliegen, keiner spezifischen Aufgabe zugewiesen werden, ohne zuvor über die vorgeschriebene Eignungsbescheinigung zu verfügen .	Eignungsbescheinigung,Urteil über die Tauglichkeit	Eignung für die spezifische Aufgabe,Tauglichkeit über die spezifische Aufgabe,Untauglichkeit für die spezifische Aufgabe		
Urteil über die Tauglichkeit: tauglich; tauglich mit Vorgaben; tauglich mit Einschränkungen; vorübergehend untauglich; permanent untauglich.	Eignungsbescheinigung,Urteil über die Tauglichkeit	Eignung für die spezifische Aufgabe,Tauglichkeit über die spezifische Aufgabe,Untauglichkeit für die spezifische Aufgabe		
Alleinarbeit liegt vor, wenn eine Person allein, außerhalb von Ruf- und Sichtverbindung zu anderen Personen Arbeiten ausführt.	Ruf- und Sichtverbindung		ständige Verbindung	Verbindung über andere Mittel
Bei Hitzearbeiten muss Unterbekleidung aus Baumwolle, besser noch aus Wolle oder Spezialfasern getragen werden. Sie erhöht die Schutzwirkung der Hitzeschutzkleidung und verbessert den Tragekomfort.	Hitzeschutzkleidung		Schutzkleidung	Chemikalienschutzkleidung,Kälteschutzkleidung,Schweisserschutzkleidung,Strahlenschutzkleidung,Warnkleider,Wetterschutzkleidung,antistatische Schutzkleidung
Rückhaltegurte dürfen benutzt werden, wenn Versicherte die Absturzkante nicht erreichen können oder bei Arbeiten auf Flächen mit nicht mehr als 45° Neigung gehalten oder beim Abrutschen gesichert werden, z. B. bei Arbeiten auf Böschungen, Dachflächen.	Rückhaltegurt			Haltegurt
Für die Ausübung des Rechts auf Bürgerzugang gelten weiterhin die Voraussetzungen, die Modalitäten und die Einschränkungen, wie sie mit gesetzesvertretendem Dekret vom 14. März 2013, Nr. 33, geregelt sind.	Bürgerzugang,Recht auf Bürgerzugang	allgemeiner Bürgerzugang,einfacher Bürgerzugang		
Das öffentliche Interesse ist bei Verarbeitungen relevant, die von Personen durchgeführt werden, welche Aufgaben im öffentlichen Interesse oder in Ausübung öffentlicher Gewalt in folgenden Bereichen wahrnehmen: a) Zugang zu Verwaltungsunterlagen und Bürgerzugang, .	Bürgerzugang,Recht auf Bürgerzugang	allgemeiner Bürgerzugang,einfacher Bürgerzugang		
Durch die Verordnung über die Sicherheits- und Gesundheitsschutzkennzeichnung werden sowohl die Form als auch die Farben der zu verwendenden Zeichengebung normiert. So müssen Zeichen der Brandbekämpfung immer rote quadratische rechteckige Schilder mit weißen Piktogrammen sein .	Zeichen der Brandbekämpfung		Sicherheitszeichen	Gebotszeichen,Rettungszeichen,Verbots- oder Beschränkungszeichen,Verbotszeichen,Vorschriftszeichen,Warnzeichen
Der Staatsanwalt leitet auf der Grundlage einer spezifischen und konkreten Schadensnachricht die Ermittlungstätigkeit ein, damit eine Entscheidung hinsichtlich der Ausübung einer Klage wegen Schadens zum Nachteil der öffentlichen Hand getroffen werden kann .	Nachricht über einen Schaden zum Nachteil der öffentlichen Hand,Schadensnachricht	Schadensanzeige		
Die Kontroll- und Prüforgane der öffentlichen Verwaltungen sowie die mit Inspektionsaufgaben betrauten Bediensteten müssen - jeweils gemäß den einschlägigen Gesetzen für ihren Bereich - umgehend direkt beim zuständigen Regionalstaatsanwalt Schadensanzeige erstatten und die Verantwortlichen der betreffenden Führungsstrukturen darüber informieren.	Schadensanzeige		Nachricht über einen Schaden zum Nachteil der öffentlichen Hand,Schadensnachricht	
Es müssen Sicherheitseinrichtungen gegen Flammenrückschlag, Gasrücktritt und Nachströmen zwischen den Entnahmestellen oder dem Abgang des Druckminderers einerseits und dem Verbraucher andererseits vorhanden sein. Diese Forderung gilt sowohl für Versorgung mit Brenngas als auch für Versorgung mit Sauerstoff.	Brenngas,brennbares Gas		Gas	entflammbares Gas,entzündbares Gas
Die Regelung  gilt sinngemäß für jede Umgestaltung von ständigen militärischen Einrichtungen auf einem Zivilflugplatz und für jede Änderung ihres Betriebes, durch die der Zivilluftverkehr auf dem Zivilflugplatz beeinträchtigt werden könnte.	Zivilluftverkehr		Luftverkehr	
Der Arbeitgeber hat Vorkehrungen zu treffen, daß alle Beschäftigten, die einer unmittelbaren erheblichen Gefahr ausgesetzt sind oder sein können, möglichst frühzeitig über diese Gefahr und die getroffenen oder zu treffenden Schutzmaßnahmen unterrichtet sind.	Schutzmaßnahme		Maßregel der Besserung und Sicherung,Sicherheitsmaßnahme	
Die einheitliche Notrufzentrale (ENZ), welche am Sitz der Agentur für Bevölkerungsschutz untergebracht ist, wurde in unmittelbarer Nähe zur integrierten Leitstelle, der Landesnotrufzentrale (LNZ), realisiert, und genießt aus diesem Grund dieselben Sicherheitsstandards.	ENZ,einheitliche Notrufzentrale		einheitliche Anrufannahmestelle	
Die ausstellende Behörde stellt durch geeignete technische und organisatorische Maßnahmen die erforderliche Qualität der Erfassung und Verarbeitung des Lichtbildes und der Fingerabdruckdaten, .	Fingerabdruckdaten		daktyloskopische Daten	
Der elektronische Austausch von daktyloskopischen Daten zwischen den nationalen Kontaktstellen gemäß Artikel 4 PCSC Abkommen erfolgt unter Verwendung eines gesicherten virtuellen Privatnetzes („Virtual Private Network“ – VPN). Alle Daten werden verschlüsselt.	daktyloskopische Daten	Fingerabdruckdaten		Gesichtsbild
Der Ausweis kann mit einem Datenchip versehen werden. Der Datenchip kann ein Gesichtsbild und die Fingerabdrücke der Inhaberin oder des Inhabers enthalten.	Gesichtsbild			daktyloskopische Daten
Aufzüge und Lastenaufzüge jeglicher Art, die handbetriebenen ausgenommen, müssen mit einer Vorrichtung zum automatischen Anhalten des Motors oder der Bewegung an beiden Enden der Fahrtstrecke ausgestattet sein.	Aufzug			Lastenaufzug
"Kennzeichnungen, die eine Energiequelle benötigen (z. B. Warnleuchte, Hupe), müssen bei Stromausfall grundsätzlich eine ""selbsttätig einsetzende Notversorgung"" haben."	Warnleuchte	Rundumleuchte		
Der Arbeitgeber darf in Heimarbeit nur Tätigkeiten mit Biostoffen der Risikogruppe 1 ohne sensibilisierende oder toxische Wirkung ausüben lassen.	Biostoff der Risikogruppe 1		Biostoff,biologischer Arbeitsstoff	Biostoff der Risikogruppe 2,Biostoff der Risikogruppe 3,Biostoff der Risikogruppe 4
Biostoffe der Risikogruppe 3, die mit (**) gekennzeichnet sind, sind solche Biostoffe, bei denen das Infektionsrisiko für Beschäftigte begrenzt ist, weil eine Übertragung über den Luftweg normalerweise nicht erfolgen kann.	Biostoff der Risikogruppe 3		Biostoff,biologischer Arbeitsstoff	Biostoff der Risikogruppe 1,Biostoff der Risikogruppe 2,Biostoff der Risikogruppe 4
Das medizinische Notrufsystem ist durch die Notrufzentrale ”118” gewährleistet, in der alle medizinischen Notrufe zusammenlaufen.	medizinisches Notrufsystem		System der medizinischen Notufe	
Aufgrund der Risikobewertung ist es möglich, die Brandrisiko-Stufe des gesamten Arbeitsbereiches und aller Teile desselben zu klassifizieren: Diese Stufen können niedrig, mittel oder hoch sein.	Brandrisiko-Stufe		Risikoklasse,Risikostufe	
Mit dem Symbol ‚Gesundheitsgefahr‘ werden z. B. krebserzeugende und atemwegssensibilisierende Stoffe gekennzeichnet.	Gesundheitsgefahr		Gefahr	Umweltgefahr,physikalische Gefahr
Es dürfen keine nicht elektrischen Arbeiten in der Nähe von Elektroleitungen oder elektrischen Anlagen mit nicht geschützten stromführenden Teilen, bzw. mit Teilen, die wegen besonderer Umstände als nicht genügend geschützt betrachtet werden, durchgeführt werden .	nicht elektrische Arbeit			Elektroarbeit,elektrische Arbeit
Die Arbeitnehmer/innen müssen über die notwendigen Sicherheitsabstände eingehend informiert werden. Dies gilt insbesondere bei nichtelektrotechnischen Arbeiten bei denen ein gefahrbringendes Annähern an unter Spannung stehende Teile absehbar ist (Kran, Leitern, Betonlift, etc.).	nichtelektrotechnische Arbeit			elektrotechnische Arbeit
Bei der Festlegung des einzuhaltenden Sicherheitsabstands zum unter Spannung stehenden Teil gibt es auch viele zu berücksichtigende Einzelfaktoren, die letztendlich zur sicheren Abstandsermittlung heranzuziehen sind und nur von einer Elektrofachkraft ermittelt werden können.	unter Spannung stehendes Teil	unter Spannung stehendes aktives Teil		
Sind Schutzmittel in der Gefahrenzone anzubringen, ist hierfür entweder der spannungsfreie Zustand der Anlagenteile herzustellen oder es sind die Festlegung für das „Arbeiten unter Spannung“ anzuwenden.	Gefahrenzone			Annäherungszone
Augenspülflaschen müssen an den Arbeitsplätzen vorhanden sein, bei denen kein Trinkwasser vorhanden ist. Die Augenspülflaschen verfügen nur über einen begrenzten Flüssigkeitsvorrat und können i. d. R. nur ein Auge ausspülen.	Augenspülflasche		Augenspüleinrichtung	Augendusche,Augennotdusche
Zur Überwachung der Strahlungsexposition während der Arbeit wurden spezielle Monitorgeräte entwickelt, die am Körper getragen werden können. Sie sind erforderlich, wenn die Stärke eines elektromagnetischen Feldes ständig schwankt.	Strahlungsexposition	UV-Exposition,UV-Strahlungsexposition	Exposition	Asbestexposition,Lärmexposition,Vibrationsexposition
Wenn in einem Überwachungsbereich offene radioaktive Stoffe vorhanden sein können, kann die zuständige Behörde festlegen, dass eine Prüfung auch beim Verlassen des Überwachungsbereichs durchzuführen ist.	Überwachungsbereich		Strahlenschutzbereich	Kontrollbereich
Beim Aufstellen der Leiter senkt sich die Plattform über einen Hebemechanismus (Brückenheber) ab und liegt auf ihrem Auflagerohr am Stützschenkel auf.	Stützschenkel		Stehleiter	Steigschenkel
Die öffentliche Verwaltung und die Schulen sind grundsätzlich im mittleren Risiko eingestuft.	mittleres Risiko		Risikoklasse,Risikostufe	geringes Risiko,hohes Risiko,niedriges Risiko
Es wird eine Erhöhung des Stellenplans des gesamtstaatlichen Arbeitsinspektorats (sog. Ispettorato nazionale del lavoro) mit entsprechender Personalaufnahme vorgesehen. Zudem werden die Geldstrafen und verwaltungsrechtlichen Geldbußen in den Bereichen Arbeit und Sozialvorschriften erhöht.	gesamtstaatliches Arbeitsinspektorat	Gebietsstelle des Arbeitsinspektorats,überregionale Stelle des Arbeitsinspektorats	Ministerium für Arbeit und Soziales,Ministerium für Arbeit und Sozialpolitik	
Für Hand-Arm-Vibrationen  wird der tägliche Auslösewert, normiert auf einen Bezugszeitraum von 8 Stunden, auf 2,5 m/s² festgesetzt.  Für Ganzkörper-Vibrationen  wird der tägliche Auslösewert, normiert auf einen Bezugszeitraum von 8 Stunden, auf 0,5 m/s² festgesetzt.	täglicher Auslösewert		Expositionswert für mechanische Vibrationen	
Es reicht allein das Vorhandensein von Schimmelpilzen noch nicht aus, um die konkrete Gefährdung der Beschäftigten bei der Tätigkeit zu beurteilen. Relevant sind insbesondere Expositionsart, Konzentration und Dauer der Einwirkung.	Expositionsart		Exposition	
Das akademische Lehrpersonal auf Planstelle ist einer Fakultät zugeordnet.	Fakultät	Fakultätsrat		
Der Betriebsarzt verfasst auf Grund der Ergebnisse der ärztlichen Untersuchungen  eines der folgenden Urteile für die spezifische Aufgabe: a) tauglich; b) teilweise, zeitweilige oder bleibende Tauglichkeit, mit Verordnung oder Einschränkungen; c) zeitweilige Untauglichkeit; d) bleibende Untauglichkeit.	ärztliche Untersuchung	Vorsorgeuntersuchung,regelmäßige ärztliche Untersuchung	Gesundheitsüberwachung	
Arbeitsmedizinische Untersuchungen sind  für den Umgang mit Strahlenquellen vorgesehen.	arbeitsmedizinische Untersuchung	Eignungsuntersuchung,Folgeuntersuchung	Gesundheitsüberwachung	
Die Eintrittsuntersuchung muss vor der Arbeitsaufnahme erfolgen. Der Arbeitnehmer darf nicht bei der gefährdenden Arbeit beschäftigt werden, bevor die Suva dazu Stellung bezogen hat.	Eintrittsuntersuchung		arbeitsmedizinische Vorsorgeuntersuchung	
Die Folgeuntersuchungen sollen einerseits erkennbar machen, dass der Körper mit den Belastungen gut umgehen kann bzw. rechtzeitig aufdecken, falls es zu einer Verschlechterung des Gesundheitszustandes kommt.	Folgeuntersuchung		arbeitsmedizinische Untersuchung	Eignungsuntersuchung
Je nach dem ärztlichen Befund und den Bedingungen, unter denen die Arbeitnehmer zu arbeiten haben, ordnet die Suva in bestimmten Zeitabständen Kontrolluntersuchungen an.	Kontrolluntersuchung			arbeitsmedizinische Vorsorgeuntersuchung
Bei Software-Ergonomie geht es um die Anpassung technischer Systeme an den Menschen . Die Software-Ergonomie befasst sich daher mit der Beschreibung und Bewertung der Kommunikationsschnittstellen zwischen Mensch und Maschine.	Software-Ergonomie,Softwareergonomie		Ergonomie	
Softwareergonomie und die Anforderungen an eine ergonomische Gestaltung sind im Arbeitsschutzrecht an vielen verschiedenen Stellen verankert. Vorgaben aus Gesetzen und Verordnungen  sind rechtlich bindend und zu berücksichtigen.	Software-Ergonomie,Softwareergonomie		Ergonomie	
Die Organisationsergonomie betrachtet im Wesentlichen die organisatorischen Aspekte der Arbeitsabläufe (Arbeitsaufteilung, Arbeitszeiten, Gruppenarbeit usw.).	Organisationsergonomie,organisatorische Ergonomie			kognitive Ergonomie,körperbezogene Ergonomie,physikalische Ergonomie
Das Musikkonservatorium Claudio Monteverdi Bozen, Institut für höhere Kunst- und Musikausbildung, wird mit der Freien Universität Bozen zusammengelegt und führt die Bezeichnung Fakultät für Musik „Konservatorium Claudio Monteverdi“ der Freien Universität Bozen.	Höhere Kunst- und Musikausbildung,höhere künstlerische und musikalische Bildung	Akademie der bildenden Künste,Hochschule für Musik und Tanz,Hochschule für angewandte Kunst und Industriedesign,Hochschule für das Kunstgewerbe,Kunstakademie,Nationale Akademie der darstellenden Künste,Nationale Akademie für Schauspielkunst		
Wenn ein Beschäftigter einen geladenen Gegenstand berührt oder in Kontakt mit einem geerdeten Gegenstand kommt, während er selbst durch Exposition gegenüber einem statischen elektrischen Feld oder Reibungselektrizität geladen ist, fließt ein Kontaktstrom.	Kontaktstrom	stationärer Kontaktstrom	Strom,elektrischer Strom	
Hand-Arm-Schwingungen werden vom Werkzeug oder der Maschine über Griffe oder Berührungsflächen auf die Hände und Arme des Bedieners übertragen. Sie werden durch zahlreiche rotierende oder schlagende handgeführte Werkzeuge verursacht, z.B. Abbauhämmer, Kettensägen, Mähgeräte, Schlagschrauber, Nadelhämmer.	schlagendes handgeführtes Werkzeug		Handwerkzeug	rotierendes Handwerkzeug,rotierendes handgeführtes Werkzeug
Der Arbeitnehmer wird in einem Zeitabstand von höchstens zwei Jahren einer periodischen Untersuchung unterzogen, um die Eignung für die risikobehaftete Tätigkeit zu bestätigen.	periodische Untersuchung		Gesundheitsüberwachung	Untersuchung aufgrund eines begründeten Verdachts,Untersuchung nach Unfall,Untersuchung vor Aufnahme der Tätigkeiten,follow-up Untersuchung,vorbeugende Überwachung
Bei Arbeiten im Bereich von Stromleitungen sind entsprechende Sicherheitsabstände einzuhalten.	Stromleitung	Freileitung		
Kreuzen elektrische Leitungen Bahnen ohne Fahrleitung, so muss der Abstand zwischen den übergeführten Leitern und der Schienenoberkante mindestens 7 m plus 0,01 m pro kV der Nennspannung betragen.	elektrische Leitung	Freileitung		
Bei Mittelspannungsleitungen und bei sehr ausgedehnten Anlagen ist es notwendig, alle aktiven Leiter der allgemeinen Hauptleitung, die bereits oberhalb und unterhalb der Bauzone getrennt wurde, zu erden; .	Mittelspannungsleitung		Stromleitung	Hochspannungsleitung,Niederspannungsleitung
Das optionale Arbeitsverfahren gilt ausschließlich für Nieder- und Mittelspannungsfreileitungen bis 30 kV.	Mittelspannungsfreileitung		Freileitung	Hochspannungsfreileitung,Niederspannungsfreileitung
Alle Gerüste mit Ausnahme jener, die für Arbeiten an Elektro-Oberleitungen verwendet werden, dürfen nicht verschoben werden, während sich Arbeitnehmer oder Lasten darauf befinden.	Elektro-Oberleitung		Freileitung	
Oberleitungen von Straßenbahnen, Bahnen und O-Bussen, führen  gefährlich hohe Spannungen.	Oberleitung		Freileitung	
Die Anzahl, die Abmessung, der Standort und der Baustoff der Türen von Arbeitsräumen müssen ein schnelles Verlassen ermöglichen und während der Arbeit leicht von innen geöffnet werden können.	Tür	Brandschutztür,Nottür,Tür des Notausganges		
Mit den engeren Toleranzen liegt das obere Spannungslimit eines +48-V-Ausgangs bei 60 V, was eine Qualifizierung als SELV-System (safety extra low voltage) ermöglicht.	SELV-System			FELV-System,PELV-System
Bei einem PELV-System überschreitet die Spannung die Grenzwerte für Kleinspannung (ELV) nicht: - unter üblichen Bedingungen, - unter Einzelfehlerbedingungen, ausgenommen bei Erdschlüssen in anderen elektrischen Stromkreisen.	PELV-System			FELV-System,SELV-System
Da FELV-Systeme keine sichere Trennung als Schutzmaßnahme gegen direktes und indirektes Berühren gefährlicher Spannungen beinhalten, müssen FELV-Systeme mit dem Schutzleiter der Primärseite verbunden sein.	FELV-System			PELV-System,SELV-System
Kleinspannungsstromkreise sind getrennt von Stromkreisen mit höherer Spannung zu führen. Sind diese im gleichen Gehäuse verlegt (z.B. in Verteilungen), so sind diese sicher voneinander zu trennen (z.B. mit Trennstegen).	ELV-Stromkreis,Kleinspannungsstromkreis	FELV-Stromkreis,PELV-Stromkreis,SELV-Stromkreis		
Schutz durch Kleinspannung beinhaltet:  aktive Teile von SELV- und PELV-Stromkreisen müssen voneinander, von FELV-Stromkreisen und von Stromkreisen höherer Spannung sicher getrennt sein, .	PELV-Stromkreis		ELV-Stromkreis,Kleinspannungsstromkreis	FELV-Stromkreis,SELV-Stromkreis
Schutz durch Kleinspannung beinhaltet:  aktive Teile von SELV- und PELV-Stromkreisen müssen voneinander, von FELV-Stromkreisen und von Stromkreisen höherer Spannung sicher getrennt sein, .	FELV-Stromkreis		ELV-Stromkreis,Kleinspannungsstromkreis	PELV-Stromkreis,SELV-Stromkreis
Geräte der Schutzklasse I sind elektrische Betriebsmittel mit Schutzleiter.	Gerät der Schutzklasse I		Elektrogerät,elektrisches Gerät	Gerät der Schutzklasse II,Gerät der Schutzklasse III,schutzisoliertes Gerät
Geräte der Schutzklasse III sind elektrische Betriebsmittel, bei denen der Schutz gegen elektrischen Schlag auf Sicherheitskleinspannung beruht.	Gerät der Schutzklasse III		Elektrogerät,elektrisches Gerät	Gerät der Schutzklasse I,Gerät der Schutzklasse II,schutzisoliertes Gerät
