context	tgt_term_gold	tgt_term_AT	tgt_term_DE	tgt_term_CH
Im Fall der Erbteilung oder der Übertragung des Betriebs haben die  Teilhaber ein Vorrecht auf den Betrieb.	Erbteilung,Teilung der Erbschaft		Auseinandersetzung,Teilung des Nachlasses	
Der Erblasser kann auch verfügen, dass die Teilung der Erbschaft oder einiger Güter derselben erst stattfinden darf, wenn eine Frist von nicht mehr als fünf Jahren ab seinem Tod abgelaufen ist.	Erbteilung,Teilung der Erbschaft		Auseinandersetzung,Teilung des Nachlasses	
Berichtigung inhaltlicher Fehler und Wiederaufnahme des Verfahrens bei Urteilen des Kassationsgerichtshofs.	Berichtigung inhaltlicher Fehler	Berichtigung von Schreib- und Rechenfehlern,Berichtigung von Schreib- und Rechnungsfehlern		Berichtigung von Schreib - oder Rechnungsfehlern
Wurde der Antragsteller wegen der im vorhergehenden Absatz erwähnten Vergehen bereits endgültig verurteilt, so ist die Zahlung der Geldbuße im Strafregister anzumerken.	Strafregister		BZR,Bundeszentralregister	Zentralstrafregister
Besteht berechtigter Grund zur Annahme, daß jemand ein Überführungsstück oder zur strafbaren Handlung gehörige Sachen an seinem Körper verbirgt, so wird eine Durchsuchung der Person angeordnet.	Durchsuchung der Person,Leibesvisitation	Personsdurchsuchung	Durchsuchung von Personen,körperliche Durchsuchung	Personsdurchsuchung
Kein Mitglied des Parlaments darf ohne Ermächtigung der Kammer, der es angehört, einer Leibesvisitation oder einer Hausdurchsuchung unterzogen werden .	Durchsuchung der Person,Leibesvisitation	Personsdurchsuchung	Durchsuchung von Personen,körperliche Durchsuchung	Personsdurchsuchung
Die Bestimmungen über die Wiedereinsetzung in die früheren Rechte werden auch bei einem auf Verurteilung lautenden ausländischen Urteil angewendet, das nach Artikel 12 anerkannt worden ist.	Wiedereinsetzung in die früheren Rechte		Rehabilitation	
Unmittelbar nachdem die Erörterung für geschlossen erklärt worden ist, entscheidet das Gericht, indem es ein Urteil auf Einstellung des Verfahrens oder ein Dekret auf Einleitung des Hauptverfahrens erläßt.	Dekret auf Einleitung des Hauptverfahrens		Eröffnungsbeschluss	
Die Berufung zur Erbschaft erfolgt durch Gesetz oder durch Testament.	Testament			letzwillige Verfügung
Gläubiger des Verstorbenen können die Absonderung auch hinsichtlich solcher Sachen vornehmen, die Gegenstand des Vermächtnisses einer bestimmten Sache sind.	Vermächtnis	Legat		Legat
Die Beteiligung des Landes Südtirol an der Konstituierung der Anstalt setzt voraus, daß in deren Statut die Vertretung des Landes in den Gesellschafts- und Aufsichtsorganen vorgesehen ist.	Satzung,Statut		Gesellschaftsvertrag	
Die Satzung, welche die Vorschriften über die Arbeitsweise der Gesellschaft enthält, wird, auch wenn sie Gegenstand einer eigenen Urkunde bildet, als integrierter Bestandteil des Gründungsvertrags betrachtet und muß diesem angeschlossen sein.	Satzung,Statut		Gesellschaftsvertrag	
Natürliche Energien, die wirtschaftlichen Wert haben, gelten als bewegliche Sachen.	bewegliche Sache	Fahrnis,bewegliches Gut	Fahrnis	Fahrnis
Die Ersitzung einer Gesamtsache  oder von dinglichen Nutzungsrechten an einer solchen tritt durch einen zwanzig Jahre lang dauernden Besitz ein.	Gesamtsache		Sachgesamtheit	Sachgesamtheit
Die natürlichen Früchte gehören dem Eigentümer der Sache, die sie hervorbringt, außer ihr Eigentum steht anderen zu.	natürliche Früchte	Naturalfrüchte	unmittelbare Sachfrüchte	
Die Zivilfrüchte werden Tag für Tag anch Maßgabe der Dauer des Rechts erworben.	Zivilfrüchte		mittelbare Früchte	zivile Früchte
Der Erwerb vollzieht sich kraft Gesetzes ohne Erfordernis der Annahme  und ohne daß eine Ausschlagung vorgenommen werden kann .	Erwerb	Erwerbung		
Solange nicht die Absonderung erfolgt, bilden die Früchte einen Bestandteil der Sache.	Absonderung,Absonderung von Früchten	Absonderung der Früchte,Separation	Trennung	Trennung
Die Rechtsstellung des Ausländers wird in Übereinstimmung mit den völkerrechtlichen Bestimmungen und Verträgen gesetzlich geregelt.	Rechtsstellung,rechtliche Stellung	rechtlicher Status	rechtlicher Status	
Das Staatsbürgerschaftsgesetz (StbG) – regelt, unter welchen Voraussetzungen Menschen die rechtliche Stellung („status“) eines österreichischen Staatsbürgers zukommt.	Rechtsstellung,rechtliche Stellung	rechtlicher Status	rechtlicher Status	
Das Deutsche Volk bekennt sich darum zu unverletzlichen und unveräußerlichen Menschenrechten als Grundlage jeder menschlichen Gemeinschaft, des Friedens und der Gerechtigkeit in der Welt.	unverkäuflich,unveräußerlich			unveräusserlich
Bei schwerer und dringender öffentlicher, militärischer oder ziviler Notwendigkeit kann die Requierierung von beweglichen oder unbeweglichen Sachen angeordnet werden.	Requirierung	Requisition	Requisition	Requisition
Das Eigentum an Grund und Boden erstreckt sich auf den Bereich unter der Erdoberfläche mit allem, was er enthält, und der Eigentümer kann jede Art von Grabung oder Bau vornehmen, die dem Nachbarn keinen Schaden zufügt.	Eigentum an Grund und Boden,Grundeigentum		Eigentum an Grundstücken	
Das Grundeigentum unterliegt in den von Sondergesetzen  vorgesehenen Fällen besonderen Vorschriften zur Erreichung von Zwecken von öffentlichem Interesse .	Eigentum an Grund und Boden,Grundeigentum		Eigentum an Grundstücken	
Das Eigentum an Grund und Boden erstreckt sich auf den Bereich unter der Erdoberfläche.	Bereich unter der Erdoberfläche,Untergrund		Erdkörper unter der Oberfläche	
Der Erbpächter hat die gleichen Rechte, die der Eigentümer an den Früchten des Bodens, am Schatz und bezüglich der Verwertung des Untergrunds in Übereinstimmung mit den Bestimmungen der Sondergesetze hätte.	Bereich unter der Erdoberfläche,Untergrund		Erdkörper unter der Oberfläche	
Bei Zwangsübertragungen  werden Grunddienstbarkeiten je nach den Erfordernissen der neuen Anordnung aufgehoben, erhalten oder begründet.	Dienstbarkeit,Grunddienstbarkeit	Prädialservitut,Realservitut		Prädialservitut
Ist die vermachte Sache mit einer Dienstbarkeit , mit einem Grundzins oder mit einer anderen auf dem Grundstück haftenden Last oder mit einer Grundrente  beschwert, so ist die Belastung vom Vermächtnisnehmer zu tragen.	Dienstbarkeit,Grunddienstbarkeit	Prädialservitut,Realservitut		Prädialservitut
Der Landesrat für Wohnungsbau gewährt dem Wohnbauinstitut einen Beitrag für den Ankauf von Grundstücken im Siedlungsgebiet, die nach Änderung der urbanistischen Nutzungswidmung als Baugrund zweckbestimmt werden können und für die Realisierung genehmigter Bauprogramme notwendig sind.	Baugrund,Bauland,bebaubare Fläche,bebaubares Grundstück			Bauzone
Der für den Wohnungsbau zuständige Landesrat gewährt den Gemeinden oder gemeinnützigen Gesellschaften und Körperschaften eine Finanzierung für den Ankauf von bebauten und bebaubaren Grundstücken in Mischgebieten, in historischen Ortskernen und in Gebieten urbanistischer Neugestaltung .	Baugrund,Bauland,bebaubare Fläche,bebaubares Grundstück			Bauzone
Wer eine auf zugewiesenem Bauland gebaute Wohnung veräußert, vermietet oder mit dinglichen Nutzungsrechten belastet, muss den Nachweis erbringen, daß er selbst über eine dem Bedarf seiner Familie angemessene Wohnung verfügt.	Baugrund,Bauland,bebaubare Fläche,bebaubares Grundstück			Bauzone
Erlangt der Eigentümer direkt vom neuen Besitzer oder Inhaber die Rückgabe der Sache, so ist er verpflichtet, dem vorhergebenden Besitzer oder Inhaber den an Stelle der Sache erhaltenen Betrag zurückzugeben.	Inhaber			Innehabender
In jedem Fall ist das Verlangen auf Herausgabe der Materialien  nach Ablauf von sechs Monaten ab dem Tag, an dem der Eigentümer von der Verbindung Kenntnis erhalten hat, nciht mehr zulässig .	Verbindung,Zuwachs			Akzession
Das Erlöschen des Überbaurechts wegen Zeitablaufs führt zum Erlöschen der vom Überbauberechtigten begründeten dinglichen Rechte.	Erbbaurecht,Überbaurecht	Baurecht		Baurecht,Baurechtsdienstbarkeit
Die Personen, denen die Flächen in Gewerbegebieten zugewiesen werden, können die Verwirklichung der Produktionsanlagen durch Abtretung des Erbbaurechtes auch Leasingunternehmen anvertrauen.	Erbbaurecht,Überbaurecht	Baurecht		Baurecht,Baurechtsdienstbarkeit
Der Fruchtnießer kann Hinzufügungen anbringen, die die wirtschaftliche Widmung der Sache nicht verändern.	Hinzufügung	Neueinführung	Einrichtung	
Wenn er nicht mit der Sorgfalt eines ordentlichen Hausvaters waltet, ist er zum Ersatz des den Parteien entstandenen Schadens verpflichtet.	Sorgfalt eines guten Familienvaters,Sorgfalt eines ordentlichen Hausvaters	gebotene Sorgfalt	erforderliche Sorgfalt,im Verkehr erforderliche Sorgfalt	
In Ansehung der Servituten findet ein doppeltes Klagerecht statt. Man kann gegen den Eigentümer das Recht der Servitut behaupten; oder, der Eigentümer kann sich über die Anmaßung einer Servitut beschweren. .	Anmaßung			Anmassung
Der Eigentümer des herrschenden Grundstücks darf keine Neuerungen vornehmen, die die Lage des dienenden Grunstücks zusätzlich erschweren.	herrschendes Grundstück	herrschende Liegenschaft,herrschender Grund		berechtigtes Grundstück
Der Eigentümer des dienenden Grundstücks ist nicht verpflichtet, irgendeine Handlung vorzunehmen, um die Ausübung der Dienstbarkeit durch den Berechtigten zu ermöglichen, es sei denn, daß das Gesetz oder der Rechtstitel etwas anderes bestimmt .	dienendes Grundstück	belastetes Grundstück,dienende Liegenschaft,dienstbarer Grund	belastetes Grundstück	belastetes Grundstück,beschwertes Grundstück
Wer ein Handelsunternehmen mit Aktiven und Passiven oder wer eine Erbschaft kauft und übernimmt, dessen eigene Forderung oder Schuld an den Unternehmer oder an die Erbschaft erlischt durch Vereinigung.	Vereinigung		Konfusion	Konfusion
Die unteilbaren Verbindlichkeiten sind, vorbehaltlich der Vorschriften der folgenden Artikel, durch die Vorschriften über die Gesamtschuldverhältnisse geregelt, soweit diese anwendbar sind.	Gesamtschuld,Gesamtschuldverhältnis,Gesamtverbindlichkeit	Gesamtobligation		
Eine Gesamtschuld entsteht, wenn mehrere Personen zur Leistung einer unteilbaren Sache verpflichtet sind	Gesamtschuld,Gesamtschuldverhältnis,Gesamtverbindlichkeit	Gesamtobligation		
Im Innenverhältnis teilt sich die Gesamtverbindlichkeit unter den verschiedenen Schuldnern oder unter den verschiedenen Gläubigern auf .	Gesamtschuld,Gesamtschuldverhältnis,Gesamtverbindlichkeit	Gesamtobligation		
Am Zugang zum Gemeinschaftseigentum oder an dem am stärksten gemeinschaftlich genutzten Ort, der auch Dritten zugänglich ist, werden die Personalien und das Domizil des Verwalters sowie seine Zustelladressen samt Telefonnummern ausgehängt.	Gemeinschaftseigentum,Kondominium,Miteigentum an Gebäuden	Wohnungseigentum	Wohnungseigentum	Stockwerkeigentum
Wenn eine gesonderte Verwendung nicht möglich ist, ist die Neuerung unstatthaft, außer die Mehrheit der Miteigentümer, die sie beschlossen oder gutgeheißen hat, ist bereit, den gesamten Aufwand für sie zu tragen.	Neuerung		Erneuerung	
Wenn die Klage oder die Verfügung einen Inhalt aufweist, der über die Aufgaben des Verwalters hinausreicht, ist dieser verpflichtet, davon unverzüglich die Versammlung der Miteigentümer zu verständigen.	Versammlung der Hausmiteigentümer,Versammlung der Miteigentümer		Versammlung der Wohnungseigentümer,Wohnungseigentümerversammlung	
Der Eheschließung hat das vom Standesbeamten durchzuführende Aufgebot voranzugehen.	Standesbeamter			Zivilstandsbeamter
Die Versöhnung der Ehegatten bewirkt die Aufgabe der bereits eingereichten Klage auf Ehetrennung.	Versöhnung			Aussöhnung
Die einverständliche Ehetrennung wird mit der Bestätigung durch das Landesgericht wirksam, das in nichtöffentlicher Sitzung aufgrund eines Berichts des Präsidenten verfügt.	einverständliche Ehetrennung			Trennung im gegenseitigen Einvernehmen
Es wird der Besitz desjenigen vermutet, der die Verfügungsgewalt tatsächlich ausübt, sofern nicht bewiesen wird, daß er sie anfänglich nur auf Grund einer Innehabung ausgeübt hat.	Innehabung	Gewahrsame	Detention,Gewahrsam	Gewahrsam,Halterschaft
Unbeschadet der Rechte, die Dritte kraft Besitzes in gutem Glauben  erworben haben, kann der Auftraggeber die Herausgabe der beweglichen Sachen verlangen , die auf seine Rechnung von dem in eigenem Namen handelnden Beauftragten  erworben wurden.	Besitz in gutem Glauben	gutgläubiger Besitz,redlicher Besitz	redlicher Besitz	gutgläubiger Besitz
Die Klage auf Wiederherstellung kann auch gegen denjenigen gerichtet werden, der den Besitz durch Einzelrechtsnachfolge und in Kenntnis der erfolgten Entziehung erworben hat.	Klage auf Wiederherstellung,Klage auf Wiederherstellung des Besitzes,Klage wegen Entziehung des Besitzes,Wiederherstellungsklage	Besitzentziehungsklage		Besitzesklage,Klage aus Besitzesentziehung
Wenn es sich um die Ausübung von Befugnissen handelt, die Gegenstand einer durch die öffentliche Verwaltung erteilten Konzession sein können, ist auch Klage auf Erhaltung des Besitzes zulässig.	Klage auf Erhaltung des Besitzes	Besitzklage,Besitzstörungsklage		Klage aus Besitzesstörung
Jede Vereinbarung, die wie auch immer auf die Bestellung einer Mitgift abzielt, ist nichtig.	Mitgift	Ausstattung,Aussteuer,Heiratsgut	Ausstattung,Aussteuer	Ausstattung,Heiratsgut
Sachen, hinsichtlich derer keiner der Ehegatten das Alleineigentum nachweisen kann, stehen zu gleichen Teilen im ungeteilten Eigentum beider Ehegatten.	ungeteiltes Eigentum	Gesamthandeigentum	Eigentum zur gesamten Hand,Gesamthandseigentum	Gesamteigentum
Sofern nicht ein anderes Rechtsverhältnis vorliegt, hat der Familienangehörige, der seine Arbeitskraft fortdauernd für die Familie oder im Familienunternehmen einsetzt, Recht auf Unterhalt gemäß der Vermögenslage der Familie .	Familienunternehmen	Familienbetrieb	Familienbetrieb	Familienbetrieb
Den unehelichen Kindern, die ein Recht auf Unterhalt, Ausbildung und Erziehung haben, gebührt eine lebenslange Rente in Höhe des Ertrages des Erbteils, auf den sie Anspruch hätten, wäre die Abstammung festgestellt oder anerkannt worden.	Anspruch auf Unterhalt,Anspruch auf vollen Unterhalt,Recht auf Unterhalt	Unterhaltsanspruch	Unterhaltsanspruch	Unterhaltsanspruch
Jeder arbeitsunfähige Staatsbürger, dem die zum Leben erforderlichen Mittel fehlen, hat Anspruch auf Unterhalt und Fürsorge.	Anspruch auf Unterhalt,Anspruch auf vollen Unterhalt,Recht auf Unterhalt	Unterhaltsanspruch	Unterhaltsanspruch	Unterhaltsanspruch
Gestaltungsurteil bedeutet, daß unmittelbar durch das gerichtliche Urteil die Rechtslage gestaltet wird.	Gestaltungsurteil,Urteil mit konstitutiver Wirkung,rechtsgestaltendes Urteil	Rechtsgestaltungsurteil		
Wenngleich die Gattungsschuld den Schuldner zur Leistung beliebiger Sachen einer Gattung verpflichtet, müssen zu diesem Zweck einmal individuell bestimmte Sachen ausgewählt werden.	Gattungsschuld			Genusschuld
Gegen den Willen des Schuldners und des Gläubigers ist  die Erfüllung durch einen Dritten nicht möglich.	Erfüllung durch einen Dritten	Zahlung durch Dritte		Erfüllung durch Dritte
Zur Feststellung des Datums von Quittungen kann das Gericht unter Berücksichtigung der Umstände jedes beliebige Beweismittel zulassen.	Quittung		Empfangsbestätigung,schriftliches Empfangsbekenntnis	
Scheingeschäfte werden meist zur Täuschung der Behörden oder dritter Personen geschlossen.	Scheingeschäft		simuliertes Geschäft	
Ein Freispruch kann nur mit Rücksicht auf die unter Anklage gestellte Tat, nicht aber mit Rücksicht auf ihre rechtliche Bezeichnung gefällt werden.	Freispruch	Freisprechung	Freisprechung	
Bei Nichteinhaltung der Pflichten und bei unentschuldigten Absenzen schlagen der Primararzt und der Direktor der Apotheke dem Sanitätsdirektor einen schriftlichen Verweis vor.	Rüge,Verweis	Ermahnung	Ermahnung	Verwarnung
Das Vormundschaftsgericht bestellt die Person zum Vormund, welche der Elternteil, der zuletzt die elterliche Verantwortung ausgeübt hat, als solchen benannt hat. Die Benennung kann durch Testament, durch öffentliche Urkunde oder durch beglaubigte Privaturkunde erfolgen.	beglaubigte Privaturkunde	öffentlich beglaubigte Urkunde	öffentlich beglaubigte Urkunde	
Die Klage auf Bestreitung der Vaterschaft zu dem während der Ehe empfangenen Kind ist nur in folgenden Fällen zulässig .	Bestreitung der Vaterschaft		Anfechtung der Vaterschaft,Vaterschaftsanfechtung	Vaterschaftsanfechtung
Liegt eine Kindesunterschiebung oder eine Kindesvertauschung vor, so kann das Kind, obwohl die Geburtskunde mit dem tatsächlichen Personenstand übereinstimmt, einen anderen Personenstand beanspruchen .	Kindesunterschiebung	Unterschiebung eines Kindes		
Die Vaterschaftsbestreitungsklage seitens der Mutter muss innerhalb einer Frist von sechs Monaten ab der Geburt des Kindes eingebracht werden oder ab dem Tag, an dem sie Kenntnis von der Zeugungsunfähigkeit des Ehemanns zum Zeitpunkt der Empfängnis erhalten hat.	Klage auf Bestreitung der Vaterschaft,Vaterschaftsbestreitungsklage	Ehelichkeitsbestreitungsklage	Klage auf Anfechtung der Vaterschaft,Vaterschaftsanfechtungsklage	Klage auf Anfechtung der Vaterschaft
