context	tgt_term_gold	tgt_term_homonym
Da Dienstbarkeiten dingliche Rechte sind, bedarf es zu ihrer Begründung eines Titels und einer Erwerbungsart (Modus).	Dienstbarkeit	Grunddienstbarkeit,Prädialservitut,Realservitut
Da das Stechschutzhemd kürzer als Schürze oder Bolero ist, muss auf einen ausreichenden Schutz der Beine der oder des Arbeitenden geachtet werden. Dieser Schutz wird in der Regel mit Stechschutzhosen erreicht.	Schutz der Beine	Beinschutz
Da der Strafprozess von Bundesrechts wegen vom Grundsatz der freien richterlichen Beweiswürdigung beherrscht ist (Art. 249 BStP), müssen tatfernere Beweismittel zwar nicht a priori ausgeschlossen werden	Grundsatz der freien richterlichen Beweiswürdigung	Grundsatz der freien Beweiswürdigung
Da es bei den unechten Unterlassungsdelikten an Kausalität und Tatbestandhandlung fehlt und es daher darauf ankommt, welche Handlung im Einzelfall vom Täter zu fordern ist, ist die Zumutbarkeit Bestandteil des Tatbestandes und nicht bloßes Schuldelement.	Zumutbarkeit	Fälligkeit
Daher genügt,  dass der Geldwäscher die Umstände kennt, die den Verdacht nahelegen, das Geld stamme aus einer verbrecherischen Vortat.	verbrecherisch	Verbrecher
Damit die Arbeitssicherheit gewährleistet ist, muss eine Fremdfirma in die betriebsspezifischen Verhältnisse des Auftraggebers eingewiesen werden.	Arbeitssicherheit	Arbeitsschutz
Damit die Leistung das Erlöschen der Schuld bewirkt, muß sie der Verpflichtung entsprechen.	Erlöschen	Aussterben
Darüber hinaus habe der Vater dem Darlehensgeber Teile seines Geschäftsanteils zu einem unter dem Nominalwert liegenden Betrag abgetreten.	Nominalwert	Nennwert,Nominale
Das Aktienstimmrecht entsteht mit der vollständigen Leistung der Einlage.	Aktienstimmrecht	Wahlrecht
Das Amtsgericht hat die Eintragung des Vereins in das Vereinsregister durch Veröffentlichung in dem von der Landesjustizverwaltung bestimmten elektronischen Informations- und Kommunikationssystem bekannt zu machen.	Veröffentlichung	Aufgebot,Verkündung
Das Ausfallverfahren gilt bis zur Übermittlung des elektronischen Verwaltungsdokuments durch das Hauptzollamt.	Übermittlung	Übertragung
Das Bundesgericht in Lausanne ist das oberste Gericht der Schweiz. Es verkörpert auf der Ebene der drei Staatsgewalten neben der gesetzgebenden Bundesversammlung (Legislative) und dem ausführenden Bundesrat (Exekutive) die rechtsprechende Gewalt (Judikative).	Legislative	gesetzgebende Gewalt
Das Bundesverwaltungsamt gliedert sich in mehreren Abteilungen, die sich teilweise wiederum in Referatsgruppen und diese in Referate unterteilen.	Abteilung	Aufteilung
Das Deutsche Volk bekennt sich darum zu unverletzlichen und unveräußerlichen Menschenrechten als Grundlage jeder menschlichen Gemeinschaft, des Friedens und der Gerechtigkeit in der Welt.	Gerechtigkeit	Justiz,Rechtspflege
Das Dienstzimmer für den Hausmeister oder die Hausmeisterin bzw. für die Schulwarte und Schulwartinnen muss in der Nähe des Haupteinganges liegen und diesen im Blickfeld haben.	Hausmeister	Verwahrer
Das Eigentum wird durch Aneignung, durch Fund, durch Zuwachs, durch Verarbeitung, durch Vereinigung oder Vermischung, durch Ersitzung, auf Grund von Verträgen, durch Nachfolge von Todes wegen und durch die anderen vom Gesetz festgesetzten Arten erworben.	Fund	Erfindung,gewerbliche Erfindung
Das Ergebnis seiner Erkundigungen hielt er in Aktennotizen fest.	Erkundigung	Information
Das Erstgericht gab dem Klagebegehren statt. Der beklagten Partei sei nicht der Beweis für den behaupteten Ausschlußtatbestand gelungen, zumindestens hätten die Täter physische Gewalt anwenden müssen, um in die Räume der Klägerin einzudringen.	physische Gewalt	absolute Gewalt,vis absoluta
Das Fahren unter Alkoholeinfluss ist verboten:  beim Transport gefährlicher Güter mit kennzeichnungspflichtigen Beförderungseinheiten; .	Transport	Frachtvertrag
Das Fakultätskollegium der Rechts- und Wirtschaftswissenschaftlichen Fakultät der Universität Bern  erlässt folgende Geschäftsordnung	Geschäftsordnung	Rechtsverordnung,Verordnung
Das G wurde als Artikel 1 des G v. 12.12.2019 I 2652 vom Bundestag mit Zustimmung des Bundesrates beschlossen.	G	Gesetz
Das Gericht darf einer Kündigung  nur zustimmen, wenn  das Betriebsratsmitglied unfähig wird, die im Arbeitsvertrag vereinbarte Arbeit zu leisten, sofern in absehbarer Zeit eine Wiederherstellung seiner Arbeitsfähigkeit nicht zu erwarten ist .	Arbeitsfähigkeit	Erwerbsfähigkeit
Das Gericht erklärt das Verfahren für erloschen: a) wenn es in den in diesem Gesetzbuch Verwaltungsprozessordnung angeführten Fällen innerhalb der vom Gesetz festgesetzten oder vom Gericht bestimmten Ausschlussfrist nicht festgesetzt oder fortgeführt wird .	Gesetzbuch	Kode
Das Gericht habe von der Enteignung, mit deren Rechtskraft die Enteignungswerberin originär Eigentum am Enteignungsobjekt erworben habe, auszugehen und auf dieser Grundlage lediglich die Frage der Enteignungsentschädigung neu zu beurteilen.	Enteignungsentschädigung	Entschädigung
Das Gericht hat jedermann, der Nachrichten über den Verschwundenen oder Abwesenden geben kann, in angemessener Weise öffentlich aufzufordern, sich binnen einer bestimmten Frist zu melden.	Frist	Grenzzeichen,prozessuale Frist
Das Gericht kann auch Verfügungen treffen, die es zum Unterhalt, zur Ausbildung und zur Erziehung des Kindes sowie zum Schutz seiner Vermögensinteressen für nützlich erachtet.	Schutz	Schutzeinrichtung,Schutzvorrichtung
Das Gericht kann dem Verurteilten Auflagen erteilen, die der Genugtuung für das begangene Unrecht dienen.	Unrecht	rechtswidrig,unerlaubt,widerrechtlich
Das Gericht kann den Parteien, ihren Bevollmächtigten und Beiständen auf Antrag oder von Amts wegen gestatten, sich während einer mündlichen Verhandlung an einem anderen Ort aufzuhalten und dort Verfahrenshandlungen vorzunehmen.	Verfahrenshandlung	Aktenstück,Aktenteil
Das Gericht kann zur Durchsetzung seiner Anordnungen die Polizei beiziehen.	Anordnung	Bestimmung,Verfügung
Das Gericht misst die Strafe nach dem Verschulden des Täters zu. Es berücksichtigt das Vorleben und die persönlichen Verhältnisse sowie die Wirkung der Strafe auf das Leben des Täters.	Täter	schuldig
Das Gericht nimmt nach Anhörung der Parteien unter Außerachtlassung jeder für das rechtliche Gehör nicht wesentlichen Förmlichkeit, wie es dies für am zweckdienlichsten hält, jene entscheidungsvorbereitenden Handlungen vor, die  unerläßlich sind .	rechtliches Gehör	Widerstreit
Das Gericht ordnet die Verwahrung an, wenn der Täter einen Mord, eine vorsätzliche Tötung, eine schwere Körperverletzung, eine Vergewaltigung,  oder eine andere mit einer Höchststrafe von fünf oder mehr Jahren bedrohte Tat begangen hat .	vorsätzlich	arglistig
Das Gericht trifft die notwendigen Verfügungen, damit die Streitsache möglichst am ersten Termin erledigt werden kann.	Streitsache	Rechtsgrund,Rechtsstreit,Ursache,causa
Das Gesetz kann allgemein oder bei einzelnen Tatbildern die verschiedenen Beteiligungsformen verschieden werten und behandeln; es kann aber auch alle, die einen ursächlichen (kausalen) Beitrag zur Verwirklichung des Tatbildes leisten, als Täter bezeichnen und ihre grundsätzliche Gleichbehandlung anordnen.	Täter	schuldig
Das Gesetz sieht vor, dass mittels Verfügung eine Person ernannt werden kann, die den Patienten oder die Patientin in den Beziehungen zu Ärzten, Ärztinnen und Personal des Gesundheitsbetriebs vertritt: die Vertrauensperson.	Vertrauensperson	Treuhänder
"Das Gesetz spricht meist statt vom Verschulden von ""Vertretenmüssen""."	Vertretenmüssen	Schuld
Das Gesetz unterscheidet die Fällung des Urteils (§ 309ZPO) von seiner Verkündung (§ 310 ZPO).	Fällung des Urteils	Beratung
Das Getrenntleben der Ehegatten - ob berechtigt oder nicht - begründet innerhalb gewisser Fristen die unwiderlegbare Vermutung des Scheiterns der Ehe .	Getrenntleben	Trennung
Das Halten i.S. von Art. 37. Abs. 2 SVG Strassenverkehrsgesetz umfasst jedes Stillstehen mit Fahrzeugen auf öffentlichem Verkehrsraum, ausgenommen das vorübergehende, durch die Verkehrslage bedingte Anhalten, etwa um vortrittsberechtigten Fahrzeugen die Durchfahrt zu ermöglichen .	Anhalten	Anhaltung,Festnahme,Freiheitsstrafe,Verhaftung
Das Interesse an der Verwahrung liegt  bei demjenigen, der den unmittelbaren Besitz weggibt, also beim Hinterleger: er ist der Last der Aufbewahrung enthoben, während der Verwahrer kein Benutzungsrecht erlangt.	Verwahrung	Lagern
Das Konkordat regelt die Vollstreckung von Zivilurteilen, die in einem Konkordatskanton ergangen und in einem anderen zu vollziehen sind.	Vollstreckung	Durchführung
Das Land fördert die Qualitätsentwicklung der betrieblichen Ausbildung durch Einführung einer Zertifizierung für Lehrbetriebe. Zu diesem Zweck legt die Landesregierung nach Anhören der Sozialpartner die Kriterien für die Anerkennung eines Betriebes als zertifizierter Lehrbetrieb fest.	Zertifizierung	Bescheinigung,Bestätigung,Nachweis
Das Landesgericht entscheidet in nichtöffentlicher Sitzung nach Einholung von Erkundigungen und Anhörung des Staatsanwalts.	Erkundigung	Information
"Das Landesgesetz vom 22. Oktober 1993, Nr. 17 ""Regelung des Verwaltungsverfahrens und des Rechts auf Zugang zu Verwaltungsunterlagen"" enthält Bestimmungen zu Eigenerklärungen und Verwaltungsunterlagen."	Eigenerklärung	Erklärung zum Ersatz einer beeideten Bezeugungsurkunde,Ersatzerklärung einer beeideten Bezeugungsurkunde
Das Leasingobjekt wird sodann direkt an den Leasingnehmer geliefert.	Leasingobjekt	Gut,Sache
Das Ministerium legt, auch mit Hilfe der Regionen und in Zusammenarbeit mit den zuständigen Universitäten und Forschungsanstalten, Richtlinien, technische Vorschriften, Kriterien und Modelle für Eingriffe zur Erhaltung von Kulturgütern fest.	Erhaltung von Kulturgütern	Denkmalpflege,Denkmalschutz
Das Personal des Berufsbildes des/der Försters/Försterin übt im Sinne der entsprechenden staatlichen Bestimmungen auch die Funktionen des einfachen Amtsträgers der Sicherheitspolizei und des höheren Amtsträgers der Gerichtspolizei aus.	Förster	Superintendent
Das Personal, das sich  bei Ämtern der Verwaltung der öffentlichen Arbeiten im Dienst befindet, die in Trentino-Südtirol ihre Tätigkeit ausüben, hat das Recht  Überstellung an die Provinzen zu beantragen.	öffentliche Arbeiten	Bauleistungen,öffentliche Bauleistungen
Das Pfandrecht muß nach außen erkennbar sein, Grundsatz der Publizität.	Publizität	Werbung
Das Produkt ist in Verkehr gebracht, wenn es dem Erwerber, dem Benutzer oder deren Gehilfen übergeben wird, auch wenn das zur Ansicht oder zur Probe geschieht.	Benutzer	Nutzer
Das Programm mit den beglaubigten Unterschriften der Gründer ist vor der Veröffentlichung bei einem Notar zu hinterlegen.	Gründer	Initiator
Das Schweizer Parlament hat zwei Kammern, die zusammen Vereinigte Bundesversammlung heissen und die gesetzgebende Gewalt im Bund bilden.	gesetzgebende Gewalt	Legislative
Das Sehvermögen ist auf den Spektralbereich 380 nm bis 780 nm begrenzt und diese für den Menschen sichtbare Strahlung wird als Licht bezeichnet.	sichtbare Strahlung	GVP,Gesundheitsverträglichkeitsprüfung
Das Sicherheitsdatenblatt dient dazu, berufliche Verwenderinnen und Händlerinnen in den Stand zu versetzen, die für den Gesundheitsschutz und die Sicherheit am Arbeitsplatz sowie den Umweltschutz erforderlichen Massnahmen zu treffen.	Sicherheit am Arbeitsplatz	Arbeitssicherheit
Das Sparheft ist kein Inhaber-, sondern ein Namenpapier .	Sparheft	Fahrzeugausweis
Das Spektrum der optischen Strahlung wird unterteilt in ultraviolette Strahlung, sichtbare Strahlung und Infrarotstrahlung .	Infrarotstrahlung	ionisierende Strahlung
Das Spektrum der optischen Strahlung wird unterteilt in ultraviolette Strahlung, sichtbare Strahlung und Infrarotstrahlung .	sichtbare Strahlung	GVP,Gesundheitsverträglichkeitsprüfung
Das Stiftungsgeschäft unter Lebenden bedarf der schriftlichen Form. Es muss die verbindliche Erklärung des Stifters enthalten, ein Vermögen zur Erfüllung eines von ihm vorgegebenen Zweckes zu widmen.	Stifter	Gründer,Gründungsaktionär
Das Stimm- und Wahlrecht steht allen Kantonseinwohnern mit Schweizer Bürgerrecht zu, die das 18. Altersjahr zurückgelegt haben.	Wahlrecht	Wählerschaft
Das Stimmrecht bestimmt sich nach dem Nennbetrag der Aktien.	Stimmrecht	Wahlrecht
Das Treppenhaus muss auf der Höhe des Fußbodens des ersten Stockes mit einem robusten Gerüst abgedeckt werden, um vorbeigehende Personen im Erdgeschoss vor dem Herabfallen von Gegenständen zu schützen.	Treppenhaus	Leiter,Stiege,Treppe
Das Urteil der provinzialen Kommission kann vor der  zuständigen regionalen Kommission angefochten werden.	provinziale Kommission	Landeskommission
Das Verbot steht  von vorneherein unter dem Vorbehalt, die Erlaubnis zu erteilen, wenn sich im Erlaubnisverfahren keine gesetzlichen Versagungsgründe ergeben.	Erlaubnis	Ermächtigung,Fahrschulerlaubnis,Genehmigung
Das Verfahren leitet: im Gerichtsverfahren bei Einzelgerichten: die Richterin oder der Richter.	Richter	Gericht
Das Vermischen oder Vermengen eines Abfalls mit anderen Abfällen oder Sachen ist unzulässig, wenn  abfallrechtlich erforderliche Untersuchungen oder Behandlungen erschwert oder behindert werden, .	Abfall	Verweigerung
Das Verschulden des gesetzlichen Vertreters und das des Erfüllungsgehilfen steht gemäß der allgemeinen Regel dem eigenen Verschulden gleich.	Erfüllungsgehilfe	richterlicher Hilfsbeamter
Das Verschulden wird nach der Schwere der Verletzung oder Gefährdung des betroffenen Rechtsguts, nach der Verwerflichkeit des Handelns,  bestimmt,	Handeln	Aktie,Handlung,Klage,Tun
Das Versicherungsunternehmen übernimmt gegen eine kalkulierte Prämie das versicherte Risiko von einem Versicherungsnehmer und ist bei Eintritt des Versicherungsfalls verpflichtet, die vereinbarte Versicherungsleistung zu erbringen.	Versicherungsunternehmen	Versicherungsagent,Versicherungsvertreter
Das Verwaltungsarchiv  nimmt Akten auf, die für den laufenden Geschäftsgang nicht mehr benötigt werden.	Verwaltungsarchiv	Zwischenarchiv
Das Wesen des Treuhandgeschäftes besteht in der Ausübung von Rechten im eigenen Namen, jedoch für fremdes Interesse und auf fremde Rechnung.	Treuhandgeschäft	Vertrauen
Das Wohnungseigentum kann von jedem Miteigentümer erworben werden, dessen Anteil dem Mindestanteil entspricht. Zwei natürliche Personen, deren Miteigentumsanteile je dem halben Mindestanteil entsprechen, können als Eigentümerpartnerschaft gemeinsam Wohnungseigentum erwerben.	Wohnungseigentum	Eigentümergemeinschaft,Wohnungseigentümergemeinschaft
Das Wählerverzeichnis kann auch im automatisierten Verfahren geführt werden.	Wählerverzeichnis	Wahlvorschlagliste,Wahlvorschlagsliste
Das Explosionsschutzdokument ist vor Aufnahme der Arbeit zu erstellen und immer dann zu überarbeiten, wenn wesentliche Änderungen, Erweiterungen oder Umgestaltungen der Arbeitsplätze, der Arbeitsmittel oder des Arbeitsablaufes vorgenommen werden.	Arbeitsablauf	Arbeitsorganisation
Das  Gutachten  wurde dem Rechnungshof für die Durchführung der gerichtlichen Billigung im Sinne des  Artikels 14, Absatz 1, Buchstabe e), GD Nr. 138/2011, umgewandelt in das G Nr. 148/2011, am 18. Mai 2020 übermittelt.	G	Gesetz
Das akademische Lehrpersonal auf Planstelle ist einer Fakultät zugeordnet.	Fakultät	Befugnis
Das an den Präsidenten der Republik gerichtete Gnadengesuch ist vom Verurteilten, von einem seiner nächsten Angehörigen, vom Lebensgefährten, vom Vormund, vom Beistand oder von einem Advokaten oder Rechtsanwalt zu unterfertigen und beim Justizminister einzureichen.	Lebensgefährte	im selben Haushalt lebende Person
Das bloß eigenmächtige Verfügen ist nicht Zueignung, da Zueignungsabsicht fehlt, hieran fehlt es auch bei bloßer Preisgabe oder Zerstörung der Sache, es sei denn der Zueignungswille wäre zuvor betätigt worden.	Zueignung	Besitzergreifung
Das erkennende Gericht muß Beschuldigte und Zeugen in der Hauptverhandlung vernehmen und Sachverständige ihre Gutachten vortragen lassen. Er darf sich nicht mit der Verlesung der Protokolle und schriftlichen Gutachten begnügen.	Verlesung	Lesung
Das initiale Ausbruchsgebiet ist die Provinz Hubei in China, wo ab dem 8. Dezember 2019 erste Erkrankungen mit typischen Symptomen auftraten.	Ausbruchsgebiet	Ausbruch
Das materielle Strafrecht, das die Voraussetzungen der Strafbarkeit und die Straftatfolgen regelt, ist im Strafgesetzbuch (StGB), in strafrechtlichen Hauptgesetzen (Jugendgerichtsgesetz, Wehrstrafgesetz) und in zahlreichen Nebengesetzen (z.B. Abgabenordnung, Betäubungsmittelgesetz, Gesetz gegen den unlauteren Wettbewerb, Strassenverkehrsgesetz, Urheberrechtsgesetz, Waffengesetz) geregelt.	strafrechtlich	Vertragsstrafe
